year,host_city,host_country,country_code,country_name,sport,event,athlete_name,medal
2008,Beijing,CHN,NED,Netherlands,Volleyball,Volleyball team event,Maria Nielsen,Gold
1964,Tokyo,JPN,JPN,Japan,Swimming,Swimming event,Sofia Wang,Bronze
1972,Munich,FRG,URS,Soviet Union,Basketball,Basketball team event,Liu Smith,Silver
1984,Los Angeles,USA,KOR,South Korea,Swimming,Swimming event,Nadia Muller,Bronze
1964,Tokyo,JPN,URS,Soviet Union,Athletics,Athletics event,Diego Okafor,Bronze
1976,Montreal,CAN,CHN,China,Relays,Relays team event,Liu Lopez,Bronze
1988,Seoul,KOR,GDR,East Germany,Relays,Relays team event,Alex Park,Bronze
1996,Atlanta,USA,USA,United States,Rowing,Rowing team event,Elena Lopez,Gold
1984,Los Angeles,USA,BRA,Brazil,Boxing,Boxing event,Carlos Smith,Bronze
2012,London,GBR,GBR,Great Britain,Judo,Judo event,Yuki Kovac,Gold
2016,Rio,BRA,JPN,Japan,Rowing,Rowing team event,Elena Andersson,Silver
2004,Athens,GRC,CHN,China,Football,Football team event,Yuki Andersson,Silver
1984,Los Angeles,USA,CAN,Canada,Swimming,Swimming event,Wei Rossi,Gold
2008,Beijing,CHN,ITA,Italy,Wrestling,Wrestling event,Marco Ahmed,Silver
1976,Montreal,CAN,GDR,East Germany,WaterPolo,WaterPolo team event,Carlos Costa,Gold
1968,Mexico City,MEX,JPN,Japan,Swimming,Swimming event,Diego Kim,Bronze
1984,Los Angeles,USA,BRA,Brazil,Diving,Diving event,Carlos Okafor,Silver
2004,Athens,GRC,GBR,Great Britain,Cycling,Cycling event,Diego Okafor,Silver
1980,Moscow,URS,CHN,China,Athletics,Athletics event,Yuki Smith,Bronze
1960,Rome,ITA,NOR,Norway,Handball,Handball team event,Pavel Costa,Bronze
2012,London,GBR,GER,Germany,WaterPolo,WaterPolo team event,Nadia Kovac,Silver
1960,Rome,ITA,USA,United States,Football,Football team event,Anna Lopez,Gold
2000,Sydney,AUS,ITA,Italy,Handball,Handball team event,Maria Kovac,Bronze
1996,Atlanta,USA,AUS,Australia,Basketball,Basketball team event,Nadia Costa,Silver
2008,Beijing,CHN,USA,United States,Rowing,Rowing team event,Liu Petrov,Silver
1968,Mexico City,MEX,GBR,Great Britain,Basketball,Basketball team event,Nadia Smith,Silver
1988,Seoul,KOR,USA,United States,Hockey,Hockey team event,Sven Zhang,Silver
1988,Seoul,KOR,JPN,Japan,Shooting,Shooting event,Pavel Kim,Silver
1968,Mexico City,MEX,URS,Soviet Union,Athletics,Athletics event,Marco Nielsen,Bronze
2000,Sydney,AUS,RUS,Russia,Athletics,Athletics event,Nadia Zhang,Silver
1984,Los Angeles,USA,AUS,Australia,Athletics,Athletics event,Sofia Wang,Gold
2008,Beijing,CHN,FRA,France,Hockey,Hockey team event,Alex Costa,Silver
1964,Tokyo,JPN,URS,Soviet Union,Swimming,Swimming event,Nadia Ahmed,GOLD 
1972,Munich,FRG,CAN,Canada,Athletics,Athletics event,Nadia Tanaka,Bronze
2016,Rio,BRA,GER,Germany,Shooting,Shooting event,Ivan Tanaka,Bronze
2016,Rio,BRA,AUS,Australia,Athletics,Athletics event,Ana Petrov,Silver
1988,Seoul,KOR,URS,Soviet Union,Relays,Relays team event,Nadia Tanaka,Bronze
1964,Tokyo,JPN,USA,United States,Rowing,Rowing team event,Sofia Novak,Gold
2000,Sydney,AUS,ITA,Italy,WaterPolo,WaterPolo team event,Pavel Ahmed,Gold
1992,Barcelona,ESP,BRA,Brazil,Volleyball,Volleyball team event,Maria Tanaka,Bronze
1984,Los Angeles,USA,USA,United States,Basketball,Basketball team event,Nadia Okafor,Gold
1972,Munich,FRG,TCH,Czechoslovakia,WaterPolo,WaterPolo team event,Alex Kovac,Silver
1980,Moscow,URS,URS,Soviet Union,Gymnastics,Gymnastics event,Kenji Andersson,Bronze
2012,London,GBR,CHN,China,Hockey,Hockey team event,Kenji Smith,Silver
1984,Los Angeles,USA,USA,United States,Volleyball,Volleyball team event,Elena Park,Bronze
2012,London,GBR,FRA,France,Volleyball,Volleyball team event,Maria Andersson,Silver
1972,Munich,FRG,GBR,Great Britain,Cycling,Cycling event,Wei Kim,Bronze
2016,Rio,BRA,CRO,Croatia,Handball,Handball team event,Diego Petrov,Bronze
1980,Moscow,URS,URS,Soviet Union,Judo,Judo event,Carlos Silva,Silver
1972,Munich,FRG,CHN,China,Handball,Handball team event,Liu Ahmed,Bronze
1984,Los Angeles,USA,FRG,West Germany,Basketball,Basketball team event,John Nielsen,Silver
2008,Beijing,CHN,RUS,Russia,WaterPolo,WaterPolo team event,Lars Kim,Gold
1980,Moscow,URS,GDR,East Germany,Handball,Handball team event,Omar Smith,Bronze
2000,Sydney,AUS,AUS,Australia,Weightlifting,Weightlifting event,Liu Okafor,Silver
2012,London,GBR,CHN,China,Handball,Handball team event,Elena Novak,Bronze
1968,Mexico City,MEX,USA,United States,Shooting,Shooting event,Maria Lopez,Silver
1996,Atlanta,USA,USA,United States,Hockey,Hockey team event,John Okafor,Silver
1976,Montreal,CAN,URS,Soviet Union,Handball,Handball team event,Liu Muller,Gold
2016,Rio,BRA,RUS,Russia,Hockey,Hockey team event,Nadia Kovac,Gold
1968,Mexico City,MEX,BRA,Brazil,Basketball,Basketball team event,Pavel Rossi,Bronze
2012,London,GBR,JPN,Japan,Basketball,Basketball team event,Elena Smith,Bronze
1992,Barcelona,ESP,RUS,Russia,Volleyball,Volleyball team event,Ana Park,Silver
1996,Atlanta,USA,RUS,Russia,Cycling,Cycling event,Alex Costa,Silver
1968,Mexico City,MEX,BRA,Brazil,Handball,Handball team event,Lars Petrov,Gold
1984,Los Angeles,USA,FRA,France,Football,Football team event,Liu Kim,Gold
1984,Los Angeles,USA,JPN,Japan,Rowing,Rowing team event,Nadia Park,Gold
1988,Seoul,KOR,ITA,Italy,Football,Football team event,Yuki Ahmed,Silver
2000,Sydney,AUS,ITA,Italy,Gymnastics,Gymnastics event,Ivan Kim,Gold
2004,Athens,GRC,GRC,Greece,Cycling,Cycling event,Maria Andersson,Gold
2012,London,GBR,JAM,Jamaica,Shooting,Shooting event,Diego Costa,Bronze
2012,London,GBR,NED,Netherlands,Handball,Handball team event,John Smith,Gold
1960,Rome,ITA,USA,United States,Fencing,Fencing event,Diego Park,Gold
2008,Beijing,CHN,BRA,Brazil,Swimming,Swimming event,Diego Lopez,Bronze
1996,Atlanta,USA,JPN,Japan,Cycling,Cycling event,Elena Lopez,Silver
1976,Montreal,CAN,YUG,Yugoslavia,Fencing,Fencing event,Ana Novak,Gold
1984,Los Angeles,USA,USA,United States,Cycling,Cycling event,Liu Wang,Silver
1996,Atlanta,USA,CZE,Czech Republic,Cycling,Cycling event,John Silva,Bronze
1968,Mexico City,MEX,KEN,Kenya,Relays,Relays team event,Anna Okafor,Silver
2012,London,GBR,FRA,France,Gymnastics,Gymnastics event,Maria Silva,Silver
2016,Rio,BRA,RUS,Russia,Hockey,Hockey team event,Sven Tanaka,Gold
1976,Montreal,CAN,AUS,Australia,WaterPolo,WaterPolo team event,Ana Novak,Bronze
1980,Moscow,URS,HUN,Hungary,Hockey,Hockey team event,Wei Novak,Bronze
1992,Barcelona,ESP,GBR,Great Britain,Handball,Handball team event,Diego Zhang,Silver
1968,Mexico City,MEX,BRA,Brazil,Gymnastics,Gymnastics event,Marco Kovac,Silver
1996,Atlanta,USA,CAN,Canada,Swimming,Swimming event,Maria Petrov,Bronze
2004,Athens,GRC,FRA,France,WaterPolo,WaterPolo team event,Diego Kovac,Silver
1976,Montreal,CAN,KOR,South Korea,Boxing,Boxing event,Ana Silva,Bronze
1996,Atlanta,USA,BRA,Brazil,Shooting,Shooting event,Ana Novak,Gold
1984,Los Angeles,USA,ITA,Italy,Football,Football team event,Nadia Kim,Bronze
1984,Los Angeles,USA,FRA,France,Handball,Handball team event,Ana Tanaka,Silver
2000,Sydney,AUS,RUS,Russia,Relays,Relays team event,Nadia Kim,Silver
1976,Montreal,CAN,TCH,Czechoslovakia,Handball,Handball team event,Sven Costa,Gold
1980,Moscow,URS,TCH,Czechoslovakia,Basketball,Basketball team event,Sofia Zhang,Gold
1992,Barcelona,ESP,RUS,Russia,Athletics,Athletics event,Ivan Wang,Silver
1992,Barcelona,ESP,ESP,Spain,Weightlifting,Weightlifting event,Pavel Petrov,Silver
2008,Beijing,CHN,CHN,China,Wrestling,Wrestling event,Sven Silva,Gold
1964,Tokyo,JPN,JPN,Japan,WaterPolo,WaterPolo team event,Liu Petrov,Bronze
1976,Montreal,CAN,CHN,China,Cycling,Cycling event,Elena Lopez,Gold
2004,Athens,GRC,CHN,China,Basketball,Basketball team event,Diego Kovac,Silver
2008,Beijing,CHN,USA,United States,Volleyball,Volleyball team event,Yuki Ahmed,Silver
2012,London,GBR,KOR,South Korea,WaterPolo,WaterPolo team event,Carlos Silva,Gold
1976,Montreal,CAN,CHN,China,Hockey,Hockey team event,Liu Okafor,Gold
1988,Seoul,KOR,CHN,China,Boxing,Boxing event,Diego Park,Gold
1980,Moscow,URS,GDR,East Germany,Basketball,Basketball team event,Lars Muller,Bronze
2004,Athens,GRC,GER,Germany,Handball,Handball team event,Omar Silva,Bronze
2000,Sydney,AUS,USA,United States,Rowing,Rowing team event,Diego Tanaka,Silver
1996,Atlanta,USA,ITA,Italy,Football,Football team event,Ana Smith,bronze
2004,Athens,GRC,KOR,South Korea,Handball,Handball team event,Maria Kim,Silver
2004,Athens,GRC,FRA,France,WaterPolo,WaterPolo team event,Ivan Park,Silver
1972,Munich,FRG,GDR,East Germany,WaterPolo,WaterPolo team event,Nadia Andersson,Bronze
2008,Beijing,CHN,JPN,Japan,Athletics,Athletics event,Sven Zhang,Silver
2004,Athens,GRC,GER,Germany,Hockey,Hockey team event,Liu Ahmed,Bronze
1992,Barcelona,ESP,USA,United States,Rowing,Rowing team event,Yuki Wang,Gold
2000,Sydney,AUS,USA,United States,Athletics,Athletics event,Omar Muller,Gold
2008,Beijing,CHN,CHN,China,Athletics,Athletics event,Pavel Kovac,Gold
1996,Atlanta,USA,ESP,Spain,Boxing,Boxing event,Sofia Novak,Gold
2008,Beijing,CHN,USA,United States,Volleyball,Volleyball team event,Sven Kim,Silver
1992,Barcelona,ESP,GBR,Great Britain,Handball,Handball team event,Sven Rossi,Silver
2016,Rio,BRA,CHN,China,Swimming,Swimming event,Kenji Silva,Silver
1984,Los Angeles,USA,ESP,Spain,Cycling,Cycling event,John Andersson,G
1972,Munich,FRG,KOR,South Korea,Handball,Handball team event,Kenji Park,Silver
1968,Mexico City,MEX,CHN,China,Boxing,Boxing event,Liu Kim,Bronze
1988,Seoul,KOR,NOR,Norway,Football,Football team event,Ivan Muller,Gold
2008,Beijing,CHN,ESP,Spain,Weightlifting,Weightlifting event,Sven Okafor,Silver
1964,Tokyo,JPN,CAN,Canada,Handball,Handball team event,Alex Andersson,Bronze
1988,Seoul,KOR,ITA,Italy,Basketball,Basketball team event,Nadia Silva,Silver
1964,Tokyo,JPN,JPN,Japan,Basketball,Basketball team event,Elena Zhang,Silver
2016,Rio,BRA,KEN,Kenya,Swimming,Swimming event,Marco Zhang,Gold
2016,Rio,BRA,ESP,Spain,Boxing,Boxing event,Alex Muller,Bronze
2012,London,GBR,RUS,Russia,Diving,Diving event,Carlos Ahmed,Bronze
1968,Mexico City,MEX,HUN,Hungary,WaterPolo,WaterPolo team event,Marco Kovac,Silver
1992,Barcelona,ESP,JPN,Japan,Basketball,Basketball team event,Yuki Kovac,Silver
1980,Moscow,URS,HUN,Hungary,Hockey,Hockey team event,Yuki Muller,Bronze
2004,Athens,GRC,GER,Germany,Athletics,Athletics event,Yuki Zhang,Bronze
2008,Beijing,CHN,JAM,Jamaica,Football,Football team event,Sofia Petrov,Bronze
2012,London,GBR,RUS,Russia,Football,Football team event,Alex Okafor,Silver
1976,Montreal,CAN,CAN,Canada,Judo,Judo event,Lars Park,Gold
1976,Montreal,CAN,USA,United States,Football,Football team event,Diego Kim,Gold
2016,Rio,BRA,HUN,Hungary,Swimming,Swimming event,Elena Nielsen,Bronze
1996,Atlanta,USA,NED,Netherlands,Volleyball,Volleyball team event,Liu Smith,Bronze
1964,Tokyo,JPN,HUN,Hungary,Football,Football team event,Marco Smith,Gold
1984,Los Angeles,USA,JPN,Japan,Rowing,Rowing team event,Sven Okafor,Silver
1968,Mexico City,MEX,USA,United States,Weightlifting,Weightlifting event,Marco Park,Bronze
1996,Atlanta,USA,BRA,Brazil,Basketball,Basketball team event,Anna Park,bronze
1968,Mexico City,MEX,HUN,Hungary,Fencing,Fencing event,Ivan Ahmed,Silver
2012,London,GBR,ITA,Italy,Athletics,Athletics event,Carlos Smith,Bronze
1968,Mexico City,MEX,URS,Soviet Union,Swimming,Swimming event,Yuki Andersson,Gold
2008,Beijing,CHN,USA,United States,Basketball,Basketball team event,Ana Park,Bronze
1984,Los Angeles,USA,GBR,Great Britain,Swimming,Swimming event,Wei Rossi,Silver
2012,London,GBR,ITA,Italy,Hockey,Hockey team event,Lars Ahmed,Bronze
1976,Montreal,CAN,MEX,Mexico,Hockey,Hockey team event,Wei Andersson,Bronze
1968,Mexico City,MEX,URS,Soviet Union,Relays,Relays team event,Wei Muller,Gold
2000,Sydney,AUS,HUN,Hungary,Rowing,Rowing team event,Alex Silva,Gold
1988,Seoul,KOR,CAN,Canada,Football,Football team event,Lars Okafor,Gold
1984,Los Angeles,USA,JPN,Japan,Volleyball,Volleyball team event,Kenji Tanaka,Gold
2000,Sydney,AUS,NED,Netherlands,Swimming,Swimming event,Liu Ahmed,Gold
2012,London,GBR,USA,United States,Basketball,Basketball team event,Liu Costa,Silver
2012,London,GBR,CZE,Czech Republic,Hockey,Hockey team event,Carlos Andersson,Gold
2016,Rio,BRA,CHN,China,Volleyball,Volleyball team event,Lars Silva,Silver
1996,Atlanta,USA,USA,United States,Athletics,Athletics event,Carlos Novak,Silver
2016,Rio,BRA,GBR,Great Britain,Shooting,Shooting event,Ana Kovac,G
2008,Beijing,CHN,AUS,Australia,Cycling,Cycling event,Elena Zhang,Bronze
1992,Barcelona,ESP,RUS,Russia,Basketball,Basketball team event,Wei Kim,Silver
1988,Seoul,KOR,AUS,Australia,Wrestling,Wrestling event,Elena Petrov,Gold
1984,Los Angeles,USA,FRA,France,Handball,Handball team event,Omar Costa,Silver
1984,Los Angeles,USA,KOR,South Korea,Wrestling,Wrestling event,Liu Park,Bronze
1968,Mexico City,MEX,BRA,Brazil,Volleyball,Volleyball team event,Marco Kim,Bronze
2008,Beijing,CHN,GBR,Great Britain,Football,Football team event,Yuki Lopez,Gold
2004,Athens,GRC,CHN,China,Football,Football team event,Nadia Muller,Silver
1988,Seoul,KOR,CAN,Canada,Football,Football team event,Pavel Kim,Gold
1972,Munich,FRG,AUS,Australia,Judo,Judo event,Maria Okafor,Gold
1968,Mexico City,MEX,MEX,Mexico,Wrestling,Wrestling event,Marco Lopez,Gold
1984,Los Angeles,USA,KOR,South Korea,Hockey,Hockey team event,Nadia Park,Gold
1996,Atlanta,USA,USA,United States,Fencing,Fencing event,Lars Andersson,Gold
1968,Mexico City,MEX,FRA,France,Boxing,Boxing event,Omar Rossi,Silver
2008,Beijing,CHN,NOR,Norway,Football,Football team event,Carlos Andersson,Silver
2016,Rio,BRA,CUB,Cuba,Football,Football team event,Carlos Costa,Bronze
1984,Los Angeles,USA,USA,United States,Fencing,Fencing event,Elena Rossi,Silver
1976,Montreal,CAN,URS,Soviet Union,Basketball,Basketball team event,Pavel Kim,Gold
2012,London,GBR,BRA,Brazil,Basketball,Basketball team event,Liu Smith,Bronze
2016,Rio,BRA,USA,United States,Relays,Relays team event,Sven Novak,Silver
1996,Atlanta,USA,JPN,Japan,Boxing,Boxing event,Anna Nielsen,Gold
1968,Mexico City,MEX,BRA,Brazil,Basketball,Basketball team event,Yuki Silva,Bronze
1972,Munich,FRG,FRG,West Germany,Shooting,Shooting event,Carlos Lopez,Silver
2008,Beijing,CHN,GBR,Great Britain,Swimming,Swimming event,Omar Okafor,Gold
2008,Beijing,CHN,KOR,South Korea,Rowing,Rowing team event,John Tanaka,Silver
1992,Barcelona,ESP,KOR,South Korea,Diving,Diving event,Anna Petrov,Gold
1972,Munich,FRG,URS,Soviet Union,Swimming,Swimming event,John Lopez,G
2000,Sydney,AUS,AUS,Australia,Handball,Handball team event,John Kovac,Gold
2016,Rio,BRA,USA,United States,Handball,Handball team event,Omar Park,Gold
1984,Los Angeles,USA,KOR,South Korea,Volleyball,Volleyball team event,Liu Ahmed,Gold
1980,Moscow,URS,GDR,East Germany,Basketball,Basketball team event,Omar Ahmed,Bronze
1996,Atlanta,USA,USA,United States,Handball,Handball team event,Omar Kovac,Gold
2004,Athens,GRC,RUS,Russia,Handball,Handball team event,Elena Silva,Gold
1980,Moscow,URS,TCH,Czechoslovakia,Shooting,Shooting event,Sofia Smith,Silver
2000,Sydney,AUS,ITA,Italy,Handball,Handball team event,Pavel Muller,Bronze
1984,Los Angeles,USA,JPN,Japan,Basketball,Basketball team event,Wei Smith,Gold
1996,Atlanta,USA,NOR,Norway,Basketball,Basketball team event,Carlos Costa,Silver
2004,Athens,GRC,RUS,Russia,Basketball,Basketball team event,Omar Kovac,Bronze
1988,Seoul,KOR,FRA,France,Relays,Relays team event,Ivan Silva,3rd
2008,Beijing,CHN,CHN,China,WaterPolo,WaterPolo team event,John Novak,Silver
2004,Athens,GRC,USA,United States,Handball,Handball team event,Pavel Okafor,Silver
2004,Athens,GRC,RUS,Russia,Rowing,Rowing team event,Kenji Kim,Gold
1972,Munich,FRG,URS,Soviet Union,Athletics,Athletics event,Yuki Ahmed,Silver
1976,Montreal,CAN,URS,Soviet Union,Handball,Handball team event,Pavel Okafor,Gold
1988,Seoul,KOR,CAN,Canada,Wrestling,Wrestling event,Sofia Kovac,Silver
2016,Rio,BRA,RUS,Russia,Volleyball,Volleyball team event,Maria Park,Bronze
1976,Montreal,CAN,USA,United States,Weightlifting,Weightlifting event,Sven Silva,Gold
1960,Rome,ITA,ITA,Italy,Boxing,Boxing event,Maria Petrov,Bronze
1988,Seoul,KOR,USA,United States,Athletics,Athletics event,Nadia Wang,Gold
1988,Seoul,KOR,BRA,Brazil,Gymnastics,Gymnastics event,Elena Smith,Silver
1972,Munich,FRG,HUN,Hungary,Relays,Relays team event,Elena Kim,Gold
1980,Moscow,URS,URS,Soviet Union,Rowing,Rowing team event,Diego Costa,Silver
1996,Atlanta,USA,GER,Germany,Volleyball,Volleyball team event,Anna Lopez,Gold
2016,Rio,BRA,JPN,Japan,Wrestling,Wrestling event,Wei Costa,Gold
1976,Montreal,CAN,USA,United States,Rowing,Rowing team event,Omar Silva,Bronze
1976,Montreal,CAN,JPN,Japan,Football,Football team event,Kenji Tanaka,Silver
2008,Beijing,CHN,ITA,Italy,Basketball,Basketball team event,Kenji Costa,Silver
1964,Tokyo,JPN,MEX,Mexico,Rowing,Rowing team event,Carlos Kovac,Gold
1960,Rome,ITA,ITA,Italy,Relays,Relays team event,Alex Petrov,Gold
2012,London,GBR,BRA,Brazil,Basketball,Basketball team event,Elena Tanaka,Bronze
2008,Beijing,CHN,CHN,China,Athletics,Athletics event,Diego Nielsen,Bronze
1964,Tokyo,JPN,FRA,France,Hockey,Hockey team event,Alex Zhang,Silver
2016,Rio,BRA,BRA,Brazil,Handball,Handball team event,Maria Smith,Silver
2000,Sydney,AUS,CUB,Cuba,Basketball,Basketball team event,Sven Muller,Bronze
1980,Moscow,URS,TCH,Czechoslovakia,Hockey,Hockey team event,Lars Smith,Silver
2008,Beijing,CHN,CHN,China,Cycling,Cycling event,Wei Nielsen,Gold
1996,Atlanta,USA,USA,United States,Boxing,Boxing event,Yuki Kovac,Bronze
1968,Mexico City,MEX,CHN,China,Wrestling,Wrestling event,Sven Andersson,G
1964,Tokyo,JPN,FRA,France,Wrestling,Wrestling event,Liu Park,Gold
2012,London,GBR,NED,Netherlands,Football,Football team event,Yuki Kovac,Silver
1976,Montreal,CAN,CHN,China,Volleyball,Volleyball team event,Lars Kovac,Gold
1988,Seoul,KOR,GDR,East Germany,Football,Football team event,Wei Novak,Bronze
1972,Munich,FRG,ESP,Spain,Gymnastics,Gymnastics event,Wei Petrov,Gold
1980,Moscow,URS,GRC,Greece,Rowing,Rowing team event,Yuki Andersson,Bronze
2004,Athens,GRC,FRA,France,WaterPolo,WaterPolo team event,Lars Tanaka,Silver
2008,Beijing,CHN,NED,Netherlands,Rowing,Rowing team event,Sofia Smith,Gold
2016,Rio,BRA,USA,United States,Handball,Handball team event,Anna Rossi,Gold
2016,Rio,BRA,RUS,Russia,Judo,Judo event,Nadia Novak,Silver
1972,Munich,FRG,URS,Soviet Union,Wrestling,Wrestling event,Ana Tanaka,Bronze
1980,Moscow,URS,TCH,Czechoslovakia,Volleyball,Volleyball team event,Pavel Wang,Silver
1976,Montreal,CAN,USA,United States,WaterPolo,WaterPolo team event,Wei Ahmed,Gold
2012,London,GBR,HUN,Hungary,Handball,Handball team event,Anna Petrov,Silver
1988,Seoul,KOR,NED,Netherlands,Athletics,Athletics event,Lars Lopez,Bronze
2008,Beijing,CHN,CHN,China,Football,Football team event,Anna Park,Gold
1964,Tokyo,JPN,CUB,Cuba,Athletics,Athletics event,Ivan Ahmed,Silver
1964,Tokyo,JPN,JPN,Japan,Wrestling,Wrestling event,Kenji Park,Gold
2016,Rio,BRA,HUN,Hungary,Swimming,Swimming event,Liu Costa,Bronze
1976,Montreal,CAN,FRG,West Germany,Relays,Relays team event,Liu Silva,Bronze
2012,London,GBR,USA,United States,Rowing,Rowing team event,Ivan Ahmed,Bronze
2004,Athens,GRC,ITA,Italy,Hockey,Hockey team event,Anna Silva,Silver
1992,Barcelona,ESP,AUS,Australia,Football,Football team event,Carlos Ahmed,Gold
2008,Beijing,CHN,CHN,China,Swimming,Swimming event,Wei Zhang,Gold
2012,London,GBR,AUS,Australia,Relays,Relays team event,Carlos Petrov,Silver
1984,Los Angeles,USA,USA,United States,WaterPolo,WaterPolo team event,Marco Ahmed,Bronze
1980,Moscow,URS,URS,Soviet Union,Swimming,Swimming event,John Costa,Bronze
1964,Tokyo,JPN,CHN,China,Swimming,Swimming event,Nadia Novak,Bronze
2004,Athens,GRC,BRA,Brazil,Rowing,Rowing team event,Anna Park,Silver
1992,Barcelona,ESP,CUB,Cuba,WaterPolo,WaterPolo team event,Sofia Kim,Bronze
1976,Montreal,CAN,GBR,Great Britain,Cycling,Cycling event,Elena Park,Bronze
1980,Moscow,URS,URS,Soviet Union,Hockey,Hockey team event,Wei Muller,G
2016,Rio,BRA,CHN,China,Weightlifting,Weightlifting event,Carlos Novak,Silver
2000,Sydney,AUS,JPN,Japan,Swimming,Swimming event,Alex Muller,Gold
2012,London,GBR,ESP,Spain,Football,Football team event,Elena Zhang,Bronze
1984,Los Angeles,USA,BRA,Brazil,Shooting,Shooting event,Sven Zhang,Silver
2012,London,GBR,GER,Germany,Hockey,Hockey team event,Liu Park,Gold
2000,Sydney,AUS,USA,United States,Gymnastics,Gymnastics event,Elena Zhang,Silver
1980,Moscow,URS,CHN,China,Football,Football team event,Marco Kovac,Bronze
2008,Beijing,CHN,JPN,Japan,Basketball,Basketball team event,Carlos Kim,Bronze
1992,Barcelona,ESP,USA,United States,Athletics,Athletics event,Marco Zhang,Bronze
1960,Rome,ITA,URS,Soviet Union,Relays,Relays team event,Elena Smith,Bronze
2004,Athens,GRC,FRA,France,Relays,Relays team event,Sofia Kovac,B
1996,Atlanta,USA,JPN,Japan,Relays,Relays team event,Diego Okafor,Bronze
1968,Mexico City,MEX,GRC,Greece,Fencing,Fencing event,Carlos Ahmed,Bronze
1984,Los Angeles,USA,USA,United States,Relays,Relays team event,Alex Zhang,Gold
1984,Los Angeles,USA,CHN,China,Shooting,Shooting event,Kenji Kim,Silver
1960,Rome,ITA,CUB,Cuba,Boxing,Boxing event,Pavel Silva,Silver
2016,Rio,BRA,BRA,Brazil,WaterPolo,WaterPolo team event,Pavel Zhang,Silver
2004,Athens,GRC,GER,Germany,Wrestling,Wrestling event,Anna Andersson,Gold
1996,Atlanta,USA,AUS,Australia,Athletics,Athletics event,Kenji Smith,Bronze
